1,3,4,6,104,105,106,107,108,7,8,9,300,0,114,115
1,1,100,100,100,100,100,100,100,100,100,100,2,100,100,100
1,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300
301,3,4,101,101,101,101,101,101,101,101,101,300,101,101,101
302,5,302,302,302,302,302,302,302,302,302,302,302,302,302,302
302,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102
6,6,6,103,6,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,109,7,7,7,7,7,7
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
