1,300,3,4,0,6,105,106,107,9,110,111,10,11,12,13,119,120,121,122,124,123
1,2,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
101,101,3,4,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
302,302,5,112,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
102,102,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
104,104,104,104,104,104,7,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,103,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
108,308,108,308,308,308,308,308,308,109,308,308,308,308,308,308,308,308,308,308,308,308
10,10,10,10,10,10,10,10,10,10,10,10,113,10,10,10,10,10,10,10,10,10
11,11,11,11,11,11,11,11,11,11,11,11,11,114,11,11,11,11,11,11,11,11
115,315,115,315,315,315,315,315,315,116,315,315,315,315,315,315,315,315,315,315,315,315
118,317,118,317,317,317,317,317,317,117,317,317,317,317,317,317,317,317,317,317,317,317
